1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
2	2	6	4	10	6	14	8	18	10	22	12	26	14	30	
3	6	3	12	15	6	21	24	9	30	33	12	39	42	15	
4	4	12	4	20	12	28	8	36	20	44	12	52	28	60	
5	10	15	20	5	30	35	40	45	10	55	60	65	70	15	
6	6	6	12	30	6	42	24	18	30	66	12	78	42	30	
7	14	21	28	35	42	7	56	63	70	77	84	91	14	105	
8	8	24	8	40	24	56	8	72	40	88	24	104	56	120	
9	18	9	36	45	18	63	72	9	90	99	36	117	126	45	
10	10	30	20	10	30	70	40	90	10	110	60	130	70	30	
11	22	33	44	55	66	77	88	99	110	11	132	143	154	165	
12	12	12	12	60	12	84	24	36	60	132	12	156	84	60	
13	26	39	52	65	78	91	104	117	130	143	156	13	182	195	
14	14	42	28	70	42	14	56	126	70	154	84	182	14	210	
15	30	15	60	15	30	105	120	45	30	165	60	195	210	15	
